Row,BODYsync_Cl1,CROSSsync_Cl1,CROSSturn_Cl1,FACEsync_Cl1,HEADsync_Cl1,INTRAsync_Cl1,MovEx_Cl1,Speech_Cl1,STACK_Cl1
BODYsync_Cl1,NaN,6.0462731599209e-08,0,0,1.28844972897557e-05,0.101245710329777,0,3.33066907387547e-16,0
CROSSsync_Cl1,NaN,NaN,3.26288789320728e-08,0.000586683983987979,0.134099626972574,2.63696800760771e-05,0.00039280146874543,0.00187063999511095,1.3756171757251e-09
CROSSturn_Cl1,NaN,NaN,NaN,0.0140983600169472,4.74241756975857e-11,0,0.0187023163394234,0.00551286862016731,0.288161795444845
FACEsync_Cl1,NaN,NaN,NaN,NaN,7.19444924635049e-06,2.99538172043867e-13,0.454734036964081,0.363475687595323,0.00297870396969191
HEADsync_Cl1,NaN,NaN,NaN,NaN,NaN,0.00159739386129942,4.30368826442873e-06,3.24374387512538e-05,1.18971499318832e-12
INTRAsync_Cl1,NaN,NaN,NaN,NaN,NaN,NaN,1.34670052887031e-13,3.26816351758907e-12,0
MovEx_Cl1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.321726685089123,0.00417985545127963
Speech_Cl1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.000979115031234379
STACK_Cl1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
