Row,BODYsync_MultiClass,CROSSsync_MultiClass,CROSSturn_MultiClass,FACEsync_MultiClass,HEADsync_MultiClass,INTRAsync_MultiClass,MovEx_MultiClass,Speech_MultiClass,STACK_MultiClass
BODYsync_MultiClass,0,12003.5,11268,12135,7935.75,1262.5,16099.5,19552.25,19294.75
CROSSsync_MultiClass,12003.5,0,735.5,131.5,4067.75,10741,4096,7548.75,7291.25
CROSSturn_MultiClass,11268,735.5,0,867,3332.25,10005.5,4831.5,8284.25,8026.75
FACEsync_MultiClass,12135,131.5,867,0,4199.25,10872.5,3964.5,7417.25,7159.75
HEADsync_MultiClass,7935.75,4067.75,3332.25,4199.25,0,6673.25,8163.75,11616.5,11359
INTRAsync_MultiClass,1262.5,10741,10005.5,10872.5,6673.25,0,14837,18289.75,18032.25
MovEx_MultiClass,16099.5,4096,4831.5,3964.5,8163.75,14837,0,3452.75,3195.25
Speech_MultiClass,19552.25,7548.75,8284.25,7417.25,11616.5,18289.75,3452.75,0,257.5
STACK_MultiClass,19294.75,7291.25,8026.75,7159.75,11359,18032.25,3195.25,257.5,0
